x,y,z,r,g,b
53.4466,73.7001,-0.762,0.8,0.8,0.8
45.2139,73.889,7.1474,0.8,0.8,0.8
53.8625,76.1468,4.1446,0.8,0.8,0.8
47.8106,73.1693,-1.2968,0.8,0.8,0.8
50.9982,77.7152,2.4191,0.8,0.8,0.8
50.6001,77.6994,8.6216,0.8,0.8,0.8
48.1791,75.1941,1.2157,0.8,0.8,0.8
52.2762,81.1078,1.5705,0.8,0.8,0.8
53.1533,79.6329,-1.2894,0.8,0.8,0.8
49.9634,77.4059,2.2822,0.8,0.8,0.8
50.5546,77.5793,3.1223,0.8,0.8,0.8
46.396,74.7015,8.1443,0.8,0.8,0.8
47.8382,75.8015,3.4777,0.8,0.8,0.8
57.6033,81.1946,2.2134,0.8,0.8,0.8
55.6638,80.3992,-0.2756,0.8,0.8,0.8
51.0511,76.0273,8.7338,0.8,0.8,0.8
51.4166,77.8348,-1.1259,0.8,0.8,0.8
50.8797,88.7073,2.5532,0.8,0.8,0.8
45.8222,73.4281,3.4698,0.8,0.8,0.8
51.1471,77.065,4.9076,0.8,0.8,0.8
59.5464,74.4136,0.9838,0.8,0.8,0.8
56.6251,75.3637,4.1181,0.8,0.8,0.8
51.0127,73.5918,8.7258,0.8,0.8,0.8
52.9455,78.9971,0.6475,0.8,0.8,0.8
47.2762,70.0429,0.976,0.8,0.8,0.8
46.2125,71.7482,-0.9498,0.8,0.8,0.8
53.0099,78.7037,2.9674,0.8,0.8,0.8
48.6147,75.3545,4.7053,0.8,0.8,0.8
55.7636,79.0544,-0.76,0.8,0.8,0.8
53.5111,84.2666,4.984,0.8,0.8,0.8
46.8597,70.2569,7.0132,0.8,0.8,0.8
52.1842,82.9021,3.442,0.8,0.8,0.8
55.0692,80.0416,-0.7367,0.8,0.8,0.8
56.3944,82.2137,-0.4287,0.8,0.8,0.8
47.8444,73.6924,3.0522,0.8,0.8,0.8
47.9032,70.1129,4.3168,0.8,0.8,0.8
46.7425,73.1432,8.649,0.8,0.8,0.8
46.0939,76.2291,1.5405,0.8,0.8,0.8
46.1096,76.236,2.127,0.8,0.8,0.8
54.7022,81.3518,-0.3268,0.8,0.8,0.8
45.4548,73.0002,7.7862,0.8,0.8,0.8
47.4651,73.0859,8.2419,0.8,0.8,0.8
49.9567,73.0857,-1.302,0.8,0.8,0.8
57.4809,76.8341,4.1569,0.8,0.8,0.8
51.4113,76.3844,4.9232,0.8,0.8,0.8
56.4488,75.002,4.1232,0.8,0.8,0.8
49.5384,70.5314,0.8991,0.8,0.8,0.8
51.4926,71.2603,2.4877,0.8,0.8,0.8
45.9644,75.3302,8.7264,0.8,0.8,0.8
54.123,71.4705,0.7494,0.8,0.8,0.8
52.994,78.7445,-0.6933,0.8,0.8,0.8
51.8469,82.5186,-0.3081,0.8,0.8,0.8
51.9059,76.0192,6.2716,0.8,0.8,0.8
57.6407,81.0654,2.2819,0.8,0.8,0.8
52.0468,72.3353,8.74,0.8,0.8,0.8
50.928,71.0374,5.2986,0.8,0.8,0.8
55.232,81.135,3.6796,0.8,0.8,0.8
51.2885,70.9168,0.8057,0.8,0.8,0.8
51.589,77.8887,3.2508,0.8,0.8,0.8
55.5282,72.1159,3.9988,0.8,0.8,0.8
46.4402,76.3385,0.5849,0.8,0.8,0.8
55.9774,74.0131,-1.315,0.8,0.8,0.8
51.551,75.9858,2.1956,0.8,0.8,0.8
55.083,82.3905,3.5463,0.8,0.8,0.8
57.7767,80.6184,2.1275,0.8,0.8,0.8
50.82,77.5296,0.132,0.8,0.8,0.8
46.9453,75.8733,8.7261,0.8,0.8,0.8
46.4491,72.7612,-0.8661,0.8,0.8,0.8
52.8498,78.2548,1.1294,0.8,0.8,0.8
45.0333,75.9627,0.0924,0.8,0.8,0.8
51.7175,71.3816,1.6401,0.8,0.8,0.8
59.527,74.7619,-1.2335,0.8,0.8,0.8
45.2907,75.1234,3.3405,0.8,0.8,0.8
45.1591,75.5508,-1.2077,0.8,0.8,0.8
46.23,72.1826,3.5416,0.8,0.8,0.8
56.341,82.8154,0.1444,0.8,0.8,0.8
59.5633,74.7204,3.0954,0.8,0.8,0.8
54.2006,73.9719,4.97,0.8,0.8,0.8
52.9137,80.213,3.7157,0.8,0.8,0.8
49.2489,70.5911,8.3367,0.8,0.8,0.8
55.4596,73.8207,4.1947,0.8,0.8,0.8
52.2673,72.4509,-1.0449,0.8,0.8,0.8
52.6696,80.9196,3.6405,0.8,0.8,0.8
46.4566,71.5398,4.9136,0.8,0.8,0.8
49.0829,71.868,8.4069,0.8,0.8,0.8
52.5631,71.6497,8.6896,0.8,0.8,0.8
49.5807,77.2835,0.6972,0.8,0.8,0.8
52.43,80.5994,0.8602,0.8,0.8,0.8
53.0916,80.5048,3.6918,0.8,0.8,0.8
48.0235,70.1506,5.8334,0.8,0.8,0.8
49.3976,76.0306,0.9842,0.8,0.8,0.8
50.2392,73.8071,8.724,0.8,0.8,0.8
55.2908,82.462,-0.1078,0.8,0.8,0.8
48.667,69.9118,0.7922,0.8,0.8,0.8
59.2183,75.8622,4.281,0.8,0.8,0.8
48.1053,71.5478,-0.4066,0.8,0.8,0.8
49.2094,72.9649,8.7209,0.8,0.8,0.8
52.7177,74.8598,1.0611,0.8,0.8,0.8
54.8794,73.2676,2.6321,0.8,0.8,0.8
46.6032,71.0753,6.4237,0.8,0.8,0.8
53.5574,71.6676,8.333,0.8,0.8,0.8
50.9271,77.688,-0.6729,0.8,0.8,0.8
54.9008,72.0791,-1.3021,0.8,0.8,0.8
59.0766,75.9509,1.2848,0.8,0.8,0.8
46.9463,70.0275,2.0656,0.8,0.8,0.8
47.6606,74.3913,8.7345,0.8,0.8,0.8
58.7834,77.283,3.5376,0.8,0.8,0.8
51.4756,76.7617,8.3824,0.8,0.8,0.8
47.2728,76.5893,2.3286,0.8,0.8,0.8
55.6332,78.8553,3.9017,0.8,0.8,0.8
45.6352,74.1208,2.4833,0.8,0.8,0.8
57.2368,82.4414,3.1185,0.8,0.8,0.8
57.4451,82.1987,1.5775,0.8,0.8,0.8
54.7261,79.1098,-1.2839,0.8,0.8,0.8
52.0992,71.0223,4.0642,0.8,0.8,0.8
54.9457,72.1253,-1.1141,0.8,0.8,0.8
53.4059,71.912,8.736,0.8,0.8,0.8
55.4866,75.4533,-1.3014,0.8,0.8,0.8
56.9026,72.327,4.3906,0.8,0.8,0.8
50.14,73.8946,4.779,0.8,0.8,0.8
49.5175,76.3114,4.6595,0.8,0.8,0.8
52.786,71.0732,4.1255,0.8,0.8,0.8
52.3773,80.7861,1.0999,0.8,0.8,0.8
57.2246,81.9241,-1.0329,0.8,0.8,0.8
46.32,76.1222,8.7319,0.8,0.8,0.8
57.0485,72.5667,0.7371,0.8,0.8,0.8
58.5085,78.1726,-0.7424,0.8,0.8,0.8
51.9132,85.3479,3.2076,0.8,0.8,0.8
52.7431,79.698,-0.0013,0.8,0.8,0.8
51.9443,71.3971,1.0409,0.8,0.8,0.8
52.8635,79.204,-1.2751,0.8,0.8,0.8
56.9254,76.8348,4.1409,0.8,0.8,0.8
52.497,71.1259,4.4933,0.8,0.8,0.8
49.2533,71.0383,-1.3027,0.8,0.8,0.8
58.243,79.1217,0.495,0.8,0.8,0.8
49.0173,70.2772,4.5777,0.8,0.8,0.8
